DoB,day,month ,year
2-7-1948,2,7,1948
5-2-2013,5,2,2013
17-7-2008,17,7,2008
24-11-1946,24,11,1946
9-8-1974,9,8,1974
15-2-1956,15,2,1956
26-3-1976,26,3,1976
17-12-1953,17,12,1953
16-6-1988,16,6,1988
9-7-1967,9,7,1967
1-9-2005,1,9,2005
22-11-1998,22,11,1998
14-9-1973,14,9,1973
24-9-1994,24,9,1994
8-9-2000,8,9,2000
10-7-2000,10,7,2000
6-5-1970,6,5,1970
7-3-1986,7,3,1986
16-6-1988,16,6,1988
5-8-2013,5,8,2013
20-5-1954,20,5,1954
9-4-1969,9,4,1969
23-11-1983,23,11,1983
12-4-1957,12,4,1957
20-3-1983,20,3,1983
19-2-1965,19,2,1965
19-12-2005,19,12,2005
25-5-1989,25,5,1989
20-5-2017,20,5,2017
2-2-1972,2,2,1972
22-7-1973,22,7,1973
15-7-2010,15,7,2010
4-6-1950,4,6,1950
23-7-1940,23,7,1940
23-9-1943,23,9,1943
5-2-1980,5,2,1980
21-2-1973,21,2,1973
10-8-1977,10,8,1977
26-1-1973,26,1,1973
27-3-1949,27,3,1949
12-5-1970,12,5,1970
18-8-2001,18,8,2001
16-9-1957,16,9,1957
21-3-1964,21,3,1964
4-7-1963,4,7,1963
20-11-1960,20,11,1960
16-8-1963,16,8,1963
17-6-2016,17,6,2016
15-11-1988,15,11,1988
12-3-2006,12,3,2006
3-10-1947,3,10,1947
13-8-1947,13,8,1947
24-3-1991,24,3,1991
9-4-1977,9,4,1977
11-8-1982,11,8,1982
8-1-1943,8,1,1943
28-4-1948,28,4,1948
6-8-1976,6,8,1976
12-11-1969,12,11,1969
4-12-1954,4,12,1954
11-3-2016,11,3,2016
18-3-1987,18,3,1987
23-11-1969,23,11,1969
16-5-1958,16,5,1958
23-4-1940,23,4,1940
11-1-1943,11,1,1943
3-7-1949,3,7,1949
18-4-1984,18,4,1984
26-4-1962,26,4,1962
21-4-1961,21,4,1961
20-11-1955,20,11,1955
19-8-1987,19,8,1987
10-5-1974,10,5,1974
26-4-2013,26,4,2013
24-6-2012,24,6,2012
18-4-1994,18,4,1994
24-5-1955,24,5,1955
1-1-1963,1,1,1963
21-8-1970,21,8,1970
6-5-1969,6,5,1969
7-7-1951,7,7,1951
14-5-1975,14,5,1975
20-8-1960,20,8,1960
20-6-1981,20,6,1981
23-3-1984,23,3,1984
6-9-2003,6,9,2003
10-7-1941,10,7,1941
6-6-1991,6,6,1991
16-8-1960,16,8,1960
28-5-1960,28,5,1960
19-11-1978,19,11,1978
15-2-1951,15,2,1951
6-9-1958,6,9,1958
8-7-1952,8,7,1952
12-6-1967,12,6,1967
11-4-1998,11,4,1998
10-3-1943,10,3,1943
14-3-1972,14,3,1972
18-6-1988,18,6,1988
11-9-1986,11,9,1986
13-5-1951,13,5,1951
12-3-2001,12,3,2001
23-1-1990,23,1,1990
16-11-1961,16,11,1961
11-4-1957,11,4,1957
7-7-1966,7,7,1966
7-8-1962,7,8,1962
14-6-2001,14,6,2001
6-4-2007,6,4,2007
8-3-1980,8,3,1980
3-11-1994,3,11,1994
24-1-1967,24,1,1967
28-5-1999,28,5,1999
9-1-1958,9,1,1958
10-12-1968,10,12,1968
17-11-2004,17,11,2004
19-3-2000,19,3,2000
20-6-1972,20,6,1972
25-1-1991,25,1,1991
7-7-1985,7,7,1985
15-6-2013,15,6,2013
25-11-1988,25,11,1988
16-6-1969,16,6,1969
27-12-2002,27,12,2002
12-8-1943,12,8,1943
5-9-1950,5,9,1950
14-8-1975,14,8,1975
15-5-1941,15,5,1941
13-6-1991,13,6,1991
16-5-1945,16,5,1945
20-6-1996,20,6,1996
19-9-1952,19,9,1952
17-9-2006,17,9,2006
13-1-1985,13,1,1985
14-11-1997,14,11,1997
12-8-1998,12,8,1998
15-5-1941,15,5,1941
24-8-1962,24,8,1962
8-9-2006,8,9,2006
11-2-1981,11,2,1981
24-8-2006,24,8,2006
17-10-1954,17,10,1954
16-6-2002,16,6,2002
19-5-1947,19,5,1947
20-10-1968,20,10,1968
2-7-1961,2,7,1961
4-8-1982,4,8,1982
22-6-1971,22,6,1971
20-1-1962,20,1,1962
17-12-1969,17,12,1969
6-9-1983,6,9,1983
16-8-1983,16,8,1983
12-8-2011,12,8,2011
15-6-1990,15,6,1990
9-9-1957,9,9,1957
25-1-1991,25,1,1991
8-10-1945,8,10,1945
12-4-2002,12,4,2002
2-2-2015,2,2,2015
7-7-1960,7,7,1960
12-7-1946,12,7,1946
24-8-1988,24,8,1988
23-3-2014,23,3,2014
12-2-2012,12,2,2012
20-8-1956,20,8,1956
26-10-2013,26,10,2013
1-10-1945,1,10,1945
2-12-1959,2,12,1959
12-12-1978,12,12,1978
9-2-2017,9,2,2017
27-5-1999,27,5,1999
5-10-1950,5,10,1950
22-5-1998,22,5,1998
24-9-1967,24,9,1967
18-1-1942,18,1,1942
13-12-1971,13,12,1971
17-5-1958,17,5,1958
20-7-1971,20,7,1971
4-6-2003,4,6,2003
11-2-1996,11,2,1996
14-7-1984,14,7,1984
8-4-2014,8,4,2014
24-3-1998,24,3,1998
27-9-1957,27,9,1957
11-9-1954,11,9,1954
1-9-2017,1,9,2017
6-7-2010,6,7,2010
28-7-1947,28,7,1947
8-2-1993,8,2,1993
11-12-1959,11,12,1959
26-2-1991,26,2,1991
1-10-1982,1,10,1982
11-11-1983,11,11,1983
13-10-2010,13,10,2010
4-5-2006,4,5,2006
12-6-1953,12,6,1953
5-9-1964,5,9,1964
21-12-1994,21,12,1994
12-3-1951,12,3,1951
17-5-1954,17,5,1954
8-5-1983,8,5,1983
18-1-1956,18,1,1956
7-5-2005,7,5,2005
13-5-1953,13,5,1953
2-12-1955,2,12,1955
26-9-1989,26,9,1989
28-4-1982,28,4,1982
10-11-1960,10,11,1960
7-12-2006,7,12,2006
7-9-1943,7,9,1943
10-5-1941,10,5,1941
23-2-1963,23,2,1963
24-12-2004,24,12,2004
8-12-1943,8,12,1943
19-11-1983,19,11,1983
4-8-1973,4,8,1973
13-7-1953,13,7,1953
21-12-1981,21,12,1981
10-5-1997,10,5,1997
6-6-1971,6,6,1971
4-11-1971,4,11,1971
10-3-2009,10,3,2009
6-7-1956,6,7,1956
5-4-1988,5,4,1988
20-4-2004,20,4,2004
5-1-2013,5,1,2013
15-1-1983,15,1,1983
14-6-2012,14,6,2012
18-6-1948,18,6,1948
11-5-1952,11,5,1952
12-5-1961,12,5,1961
19-5-1961,19,5,1961
6-7-2001,6,7,2001
20-9-1989,20,9,1989
13-10-1958,13,10,1958
4-5-1959,4,5,1959
27-1-1992,27,1,1992
25-7-1950,25,7,1950
1-12-1995,1,12,1995
21-8-1998,21,8,1998
20-8-1958,20,8,1958
9-2-2007,9,2,2007
8-7-1992,8,7,1992
11-1-1993,11,1,1993
22-11-1970,22,11,1970
1-11-2005,1,11,2005
22-12-1999,22,12,1999
20-9-1983,20,9,1983
18-8-1953,18,8,1953
9-2-1955,9,2,1955
17-7-1956,17,7,1956
8-8-1986,8,8,1986
8-2-1980,8,2,1980
26-3-1987,26,3,1987
27-2-1986,27,2,1986
19-12-1940,19,12,1940
4-6-2013,4,6,2013
27-2-1955,27,2,1955
11-2-1970,11,2,1970
24-7-2015,24,7,2015
23-8-2012,23,8,2012
27-1-1986,27,1,1986
20-6-2000,20,6,2000
25-4-1949,25,4,1949
1-11-2010,1,11,2010
10-10-2011,10,10,2011
8-5-1990,8,5,1990
4-8-1973,4,8,1973
2-1-1983,2,1,1983
3-12-1949,3,12,1949
21-5-1949,21,5,1949
5-11-1973,5,11,1973
26-4-1950,26,4,1950
3-6-1997,3,6,1997
26-4-2004,26,4,2004
9-4-2013,9,4,2013
14-3-1941,14,3,1941
16-3-1943,16,3,1943
26-9-1950,26,9,1950
7-9-1958,7,9,1958
3-6-2017,3,6,2017
22-6-1967,22,6,1967
5-4-1942,5,4,1942
25-10-2007,25,10,2007
15-9-2018,15,9,2018
21-8-2017,21,8,2017
19-10-1973,19,10,1973
21-8-1993,21,8,1993
23-3-2007,23,3,2007
26-12-2009,26,12,2009
6-3-1940,6,3,1940
27-2-1992,27,2,1992
5-2-1978,5,2,1978
24-8-2001,24,8,2001
14-6-1952,14,6,1952
4-2-1972,4,2,1972
20-9-2001,20,9,2001
5-10-2018,5,10,2018
19-7-1946,19,7,1946
16-5-1959,16,5,1959
2-10-1967,2,10,1967
9-9-1985,9,9,1985
15-10-1975,15,10,1975
10-11-1951,10,11,1951
14-3-1951,14,3,1951
24-10-1940,24,10,1940
16-5-1959,16,5,1959
14-5-1941,14,5,1941
15-2-1943,15,2,1943
13-4-2003,13,4,2003
21-8-1999,21,8,1999
6-3-1973,6,3,1973
8-5-1971,8,5,1971
19-9-2013,19,9,2013
18-4-1979,18,4,1979
17-2-1966,17,2,1966
10-1-1985,10,1,1985
1-2-1995,1,2,1995
24-10-1961,24,10,1961
22-2-1954,22,2,1954
1-3-1978,1,3,1978
28-5-1986,28,5,1986
18-4-1993,18,4,1993
24-12-1942,24,12,1942
1-10-1974,1,10,1974
13-1-1949,13,1,1949
21-1-2017,21,1,2017
18-1-1944,18,1,1944
8-12-1946,8,12,1946
12-6-1996,12,6,1996
23-6-1948,23,6,1948
8-8-2018,8,8,2018
2-6-1948,2,6,1948
10-9-1945,10,9,1945
13-12-1946,13,12,1946
20-3-2010,20,3,2010
5-5-1949,5,5,1949
13-6-1965,13,6,1965
3-9-1952,3,9,1952
6-4-2018,6,4,2018
21-10-1999,21,10,1999
21-11-1959,21,11,1959
2-10-1991,2,10,1991
14-5-1997,14,5,1997
25-4-1969,25,4,1969
21-4-2007,21,4,2007
10-7-2014,10,7,2014
6-4-2001,6,4,2001
5-1-1991,5,1,1991
1-10-1943,1,10,1943
3-8-2004,3,8,2004
9-3-1987,9,3,1987
10-12-1940,10,12,1940
10-10-1978,10,10,1978
4-5-2014,4,5,2014
8-1-1982,8,1,1982
13-12-1990,13,12,1990
7-10-1992,7,10,1992
15-5-1987,15,5,1987
14-8-1974,14,8,1974
18-12-1970,18,12,1970
26-2-1964,26,2,1964
14-7-1998,14,7,1998
8-11-2011,8,11,2011
9-11-1952,9,11,1952
21-5-1981,21,5,1981
18-12-2012,18,12,2012
22-5-2012,22,5,2012
28-9-1951,28,9,1951
25-11-2006,25,11,2006
5-4-1997,5,4,1997
27-8-1948,27,8,1948
6-12-1987,6,12,1987
20-7-1950,20,7,1950
26-11-1986,26,11,1986
7-4-1978,7,4,1978
2-1-1981,2,1,1981
7-10-1962,7,10,1962
6-5-1946,6,5,1946
23-12-1944,23,12,1944
18-4-1987,18,4,1987
1-1-1972,1,1,1972
8-12-1998,8,12,1998
27-1-1968,27,1,1968
3-8-2001,3,8,2001
5-1-1967,5,1,1967
28-6-1968,28,6,1968
12-10-1941,12,10,1941
28-6-2014,28,6,2014
10-8-1966,10,8,1966
1-12-1976,1,12,1976
4-11-1957,4,11,1957
10-12-1950,10,12,1950
13-3-1994,13,3,1994
8-12-1999,8,12,1999
15-9-1956,15,9,1956
7-10-1997,7,10,1997
7-12-1941,7,12,1941
24-7-2014,24,7,2014
10-3-1967,10,3,1967
27-2-1966,27,2,1966
8-3-1986,8,3,1986
2-7-2013,2,7,2013
20-11-1992,20,11,1992
5-4-1963,5,4,1963
13-7-1983,13,7,1983
14-4-1963,14,4,1963
24-8-1952,24,8,1952
21-4-2000,21,4,2000
9-7-2004,9,7,2004
25-11-1965,25,11,1965
13-6-1992,13,6,1992
22-12-1966,22,12,1966
3-8-2001,3,8,2001
8-7-1979,8,7,1979
11-12-2016,11,12,2016
5-3-1952,5,3,1952
21-2-2017,21,2,2017
8-11-2012,8,11,2012
27-8-1963,27,8,1963
20-5-2002,20,5,2002
1-10-2002,1,10,2002
18-3-1967,18,3,1967
9-4-1972,9,4,1972
14-4-1990,14,4,1990
13-9-1950,13,9,1950
4-6-2017,4,6,2017
14-9-1971,14,9,1971
21-8-1950,21,8,1950
6-1-1989,6,1,1989
13-8-2003,13,8,2003
22-11-1955,22,11,1955
16-8-1985,16,8,1985
7-6-1951,7,6,1951
3-10-1987,3,10,1987
3-8-1948,3,8,1948
9-1-1994,9,1,1994
6-5-1976,6,5,1976
1-1-1969,1,1,1969
22-3-1989,22,3,1989
5-11-1965,5,11,1965
17-7-1940,17,7,1940
14-6-1981,14,6,1981
11-3-1981,11,3,1981
20-7-1994,20,7,1994
11-2-1955,11,2,1955
22-3-2008,22,3,2008
26-2-1976,26,2,1976
14-6-1948,14,6,1948
15-4-1961,15,4,1961
6-5-1977,6,5,1977
13-7-1969,13,7,1969
16-3-2006,16,3,2006
11-4-1953,11,4,1953
13-11-1980,13,11,1980
28-7-2012,28,7,2012
14-6-1994,14,6,1994
17-6-1964,17,6,1964
20-6-1940,20,6,1940
24-9-1981,24,9,1981
3-12-1973,3,12,1973
16-9-1941,16,9,1941
12-10-1949,12,10,1949
3-6-1994,3,6,1994
18-6-1954,18,6,1954
13-7-1942,13,7,1942
14-10-2002,14,10,2002
10-5-1991,10,5,1991
4-7-1950,4,7,1950
1-11-2000,1,11,2000
11-2-1995,11,2,1995
5-7-2001,5,7,2001
27-8-1993,27,8,1993
22-3-1959,22,3,1959
2-7-2016,2,7,2016
18-9-1978,18,9,1978
11-3-2002,11,3,2002
12-6-1991,12,6,1991
23-11-1965,23,11,1965
2-11-1976,2,11,1976
13-2-1991,13,2,1991
24-12-1957,24,12,1957
8-6-1943,8,6,1943
6-5-1941,6,5,1941
14-12-1954,14,12,1954
9-5-2016,9,5,2016
12-11-1961,12,11,1961
18-7-1965,18,7,1965
11-5-1943,11,5,1943
18-1-1973,18,1,1973
10-1-1978,10,1,1978
15-11-2010,15,11,2010
1-1-2016,1,1,2016
5-2-1988,5,2,1988
6-1-1963,6,1,1963
6-5-1979,6,5,1979
3-3-1944,3,3,1944
28-1-2002,28,1,2002
9-6-1994,9,6,1994
5-9-2009,5,9,2009
19-3-1968,19,3,1968
24-6-2008,24,6,2008
7-7-2007,7,7,2007
15-3-1966,15,3,1966
2-2-1968,2,2,1968
21-8-1961,21,8,1961
18-11-1962,18,11,1962
26-4-1959,26,4,1959
12-12-1980,12,12,1980
5-9-1944,5,9,1944
4-9-2005,4,9,2005
14-10-1966,14,10,1966
1-10-1993,1,10,1993
5-10-1999,5,10,1999
11-9-1947,11,9,1947
24-3-1988,24,3,1988
3-10-1965,3,10,1965
24-9-1999,24,9,1999
13-7-1992,13,7,1992
1-4-2009,1,4,2009
11-12-2003,11,12,2003
5-2-1954,5,2,1954
27-12-2012,27,12,2012
23-5-1980,23,5,1980
27-9-2000,27,9,2000
10-12-2017,10,12,2017
19-12-1961,19,12,1961
1-4-1993,1,4,1993
25-2-1982,25,2,1982
8-4-1981,8,4,1981
17-2-1985,17,2,1985
9-12-1952,9,12,1952
24-3-2009,24,3,2009
18-11-2005,18,11,2005
20-5-1984,20,5,1984
19-10-2006,19,10,2006
28-1-1997,28,1,1997
27-10-1988,27,10,1988
23-3-1983,23,3,1983
8-7-1957,8,7,1957
24-9-1980,24,9,1980
15-12-1944,15,12,1944
2-6-1990,2,6,1990
24-4-1994,24,4,1994
2-6-2009,2,6,2009
6-2-1996,6,2,1996
13-7-1965,13,7,1965
17-10-1981,17,10,1981
19-1-1995,19,1,1995
7-9-2012,7,9,2012
13-5-1965,13,5,1965
18-3-1963,18,3,1963
26-8-1977,26,8,1977
23-8-1949,23,8,1949
17-11-1984,17,11,1984
21-10-2017,21,10,2017
12-6-1975,12,6,1975
17-8-2015,17,8,2015
27-3-1966,27,3,1966
11-7-2018,11,7,2018
20-8-1980,20,8,1980
7-1-2004,7,1,2004
18-7-1958,18,7,1958
26-5-1971,26,5,1971
27-2-1998,27,2,1998
5-4-1989,5,4,1989
26-4-1972,26,4,1972
28-7-2003,28,7,2003
12-7-1995,12,7,1995
16-1-2009,16,1,2009
28-5-1989,28,5,1989
10-8-1941,10,8,1941
10-10-2004,10,10,2004
23-6-1947,23,6,1947
3-4-2018,3,4,2018
19-12-2007,19,12,2007
22-6-1982,22,6,1982
8-11-1994,8,11,1994
12-11-1949,12,11,1949
23-11-1999,23,11,1999
14-4-1949,14,4,1949
1-6-2000,1,6,2000
10-11-1952,10,11,1952
10-3-1948,10,3,1948
22-12-2018,22,12,2018
8-1-2014,8,1,2014
23-1-1972,23,1,1972
10-2-1955,10,2,1955
27-12-1964,27,12,1964
6-9-2004,6,9,2004
25-6-1978,25,6,1978
3-5-1996,3,5,1996
2-11-1948,2,11,1948
19-4-1984,19,4,1984
6-2-1985,6,2,1985
28-11-1943,28,11,1943
3-1-2016,3,1,2016
26-5-1962,26,5,1962
23-4-2009,23,4,2009
13-1-1946,13,1,1946
13-8-1986,13,8,1986
24-6-2008,24,6,2008
1-1-1958,1,1,1958
2-9-2005,2,9,2005
23-3-1971,23,3,1971
23-9-1967,23,9,1967
25-11-1981,25,11,1981
9-6-2007,9,6,2007
10-11-2000,10,11,2000
2-2-1943,2,2,1943
13-4-2009,13,4,2009
4-11-1987,4,11,1987
5-2-2016,5,2,2016
5-9-2007,5,9,2007
24-10-1956,24,10,1956
13-6-1996,13,6,1996
17-8-1957,17,8,1957
20-11-1954,20,11,1954
27-10-2005,27,10,2005
1-3-1949,1,3,1949
9-10-1953,9,10,1953
21-7-1945,21,7,1945
28-9-1998,28,9,1998
16-11-2011,16,11,2011
9-7-1997,9,7,1997
14-1-1982,14,1,1982
8-4-1955,8,4,1955
28-1-1991,28,1,1991
26-9-1997,26,9,1997
22-10-1994,22,10,1994
11-5-1987,11,5,1987
24-1-1963,24,1,1963
17-1-1974,17,1,1974
4-12-1957,4,12,1957
19-8-2018,19,8,2018
27-9-2006,27,9,2006
7-1-1946,7,1,1946
20-3-2011,20,3,2011
17-12-1964,17,12,1964
23-9-1970,23,9,1970
3-9-1967,3,9,1967
6-5-1981,6,5,1981
13-2-1993,13,2,1993
22-3-1963,22,3,1963
4-1-2002,4,1,2002
22-1-2011,22,1,2011
5-3-1941,5,3,1941
16-11-1956,16,11,1956
25-9-1991,25,9,1991
21-2-1943,21,2,1943
18-5-2004,18,5,2004
24-11-2006,24,11,2006
12-11-2011,12,11,2011
27-12-1977,27,12,1977
7-1-2010,7,1,2010
22-10-1956,22,10,1956
14-8-2012,14,8,2012
20-11-1969,20,11,1969
21-10-1946,21,10,1946
19-6-1966,19,6,1966
12-4-1962,12,4,1962
18-5-1953,18,5,1953
20-6-1993,20,6,1993
25-4-1994,25,4,1994
7-6-1951,7,6,1951
8-7-2008,8,7,2008
14-10-2002,14,10,2002
20-6-1958,20,6,1958
8-10-1945,8,10,1945
12-4-1988,12,4,1988
5-12-1957,5,12,1957
20-2-1980,20,2,1980
22-2-2008,22,2,2008
16-2-1977,16,2,1977
4-9-1968,4,9,1968
28-5-2008,28,5,2008
24-3-2013,24,3,2013
1-4-1955,1,4,1955
6-10-1979,6,10,1979
2-6-1974,2,6,1974
7-8-2013,7,8,2013
17-1-1972,17,1,1972
19-6-1960,19,6,1960
28-4-1989,28,4,1989
23-10-1958,23,10,1958
25-2-1950,25,2,1950
14-6-1980,14,6,1980
23-10-1969,23,10,1969
27-8-1961,27,8,1961
1-10-1978,1,10,1978
20-6-1999,20,6,1999
17-7-1968,17,7,1968
11-7-1984,11,7,1984
2-6-1968,2,6,1968
12-6-1943,12,6,1943
28-6-1940,28,6,1940
10-7-1954,10,7,1954
7-5-1946,7,5,1946
6-10-1946,6,10,1946
7-9-2015,7,9,2015
18-5-2009,18,5,2009
3-5-1997,3,5,1997
5-5-1961,5,5,1961
4-6-1948,4,6,1948
15-3-1969,15,3,1969
8-1-2008,8,1,2008
10-2-2007,10,2,2007
14-7-1941,14,7,1941
10-5-2012,10,5,2012
2-2-2011,2,2,2011
3-9-1958,3,9,1958
13-7-2005,13,7,2005
7-9-1952,7,9,1952
7-11-1942,7,11,1942
2-3-1975,2,3,1975
26-7-1951,26,7,1951
24-4-1972,24,4,1972
24-9-1999,24,9,1999
12-6-1970,12,6,1970
21-1-1969,21,1,1969
10-2-1946,10,2,1946
16-1-2002,16,1,2002
23-11-1941,23,11,1941
25-12-1978,25,12,1978
17-2-2006,17,2,2006
24-2-2007,24,2,2007
20-11-2016,20,11,2016
21-6-1979,21,6,1979
6-4-1941,6,4,1941
22-7-1990,22,7,1990
8-12-2006,8,12,2006
16-4-2001,16,4,2001
5-2-1960,5,2,1960
15-12-1968,15,12,1968
11-1-2006,11,1,2006
9-1-1984,9,1,1984
20-7-1999,20,7,1999
10-5-1962,10,5,1962
18-5-1998,18,5,1998
2-11-1976,2,11,1976
2-9-1973,2,9,1973
22-1-1999,22,1,1999
17-4-1973,17,4,1973
25-5-1955,25,5,1955
21-1-2004,21,1,2004
19-1-1982,19,1,1982
12-5-1990,12,5,1990
10-8-1999,10,8,1999
7-9-1993,7,9,1993
1-12-2007,1,12,2007
12-11-1970,12,11,1970
13-8-1940,13,8,1940
20-6-2009,20,6,2009
27-1-1982,27,1,1982
1-12-1941,1,12,1941
25-7-1992,25,7,1992
12-5-2016,12,5,2016
7-8-1957,7,8,1957
22-3-1969,22,3,1969
1-2-2006,1,2,2006
21-12-1986,21,12,1986
9-4-1956,9,4,1956
16-3-1960,16,3,1960
20-4-1989,20,4,1989
12-5-2013,12,5,2013
23-9-2013,23,9,2013
3-6-1956,3,6,1956
16-6-2012,16,6,2012
13-3-1999,13,3,1999
11-10-2018,11,10,2018
6-11-1955,6,11,1955
14-9-1974,14,9,1974
17-7-1986,17,7,1986
25-5-1958,25,5,1958
19-8-2018,19,8,2018
3-4-1998,3,4,1998
18-10-1953,18,10,1953
6-1-2000,6,1,2000
12-12-1944,12,12,1944
15-2-2002,15,2,2002
16-1-1964,16,1,1964
22-7-2015,22,7,2015
10-12-1995,10,12,1995
12-1-2007,12,1,2007
10-5-1941,10,5,1941
26-7-2010,26,7,2010
19-9-1975,19,9,1975
8-5-2001,8,5,2001
18-3-1948,18,3,1948
7-7-2017,7,7,2017
17-8-1947,17,8,1947
28-11-1979,28,11,1979
4-11-2008,4,11,2008
19-3-1967,19,3,1967
15-8-1963,15,8,1963
5-4-1991,5,4,1991
21-10-2011,21,10,2011
25-3-1976,25,3,1976
28-3-1946,28,3,1946
10-10-1962,10,10,1962
24-4-1943,24,4,1943
28-2-1944,28,2,1944
8-1-1964,8,1,1964
20-1-1985,20,1,1985
23-6-1959,23,6,1959
24-4-1984,24,4,1984
11-9-2018,11,9,2018
2-4-1971,2,4,1971
22-1-1960,22,1,1960
11-7-1969,11,7,1969
18-11-2007,18,11,2007
8-9-2010,8,9,2010
19-1-1982,19,1,1982
16-3-1964,16,3,1964
27-8-1986,27,8,1986
22-8-1980,22,8,1980
3-1-1986,3,1,1986
2-10-1960,2,10,1960
1-8-1940,1,8,1940
12-8-1955,12,8,1955
9-3-1964,9,3,1964
9-2-1980,9,2,1980
21-6-1966,21,6,1966
9-1-1954,9,1,1954
4-7-1999,4,7,1999
13-5-2007,13,5,2007
17-12-1965,17,12,1965
6-6-2005,6,6,2005
18-10-1953,18,10,1953
11-5-1942,11,5,1942
17-3-1970,17,3,1970
8-7-1946,8,7,1946
2-7-1980,2,7,1980
1-1-1946,1,1,1946
13-1-1983,13,1,1983
28-3-1995,28,3,1995
4-12-1967,4,12,1967
3-9-1953,3,9,1953
12-10-1955,12,10,1955
14-8-1974,14,8,1974
2-6-1984,2,6,1984
7-10-2015,7,10,2015
16-2-1994,16,2,1994
