Postcode,Area,City,StreetNumber,StreetName,FullAddress
591,Ascot Park,Christchurch,49,Rifle Range Road,"49 Lyndhurst Street, Westport"
592,Atawhai,Wellington,71,Weraroa Road,"71 Kirton Road, Manunui, Taumarunui"
593,Auckland Airport,Whanganui,22B,Hutt Road,"22B Lanark Street, Mosgiel"
594,Auckland Central,Palmerston North,22,Meon Street,"22 Loop Road, Waihemo"
600,Avalon,Whangarei,Mar 14,Nottingham Road,"3/14 Wolsley Avenue, Milford, Auckland"
602,Avenal,Lower Hutt,112,Upper Manaia Road,"112 Govan Drive, Te Anau"
604,Avenues,Whanganui,119,South Road,"119 Aorangi Road, Bryndwr, Christchurch"
610,Avondale,Upper Hutt,12,Michael Street,"12 Holland Street, Wainuiomata, Lower Hutt"
612,Avonhead,Christchurch,74,Centennial Avenue,"74 Sparks Road, Hoon Hay, Christchurch"
614,Avonside,Takanini,47,Puhinui Road,"47 Rhodes Street, Waimate"
618,Awapuni,Wellington,58,Greenhill Road,"58 Kairakau Road, Elsthorpe"
620,Awatoto,Lower Hutt,142B,Poporangi Road,"142B Bishop Street, St Albans, Christchurch"
622,Bader,Auckland,60,Carson Street,"60 Oceanview Road, Mount Maunganui"
624,Balaclava,Whangaparaoa,10,Hinaki Street,"10 Lakeridge Close, Northcross, Auckland"
626,Bastia Hill,Auckland,605,Valley Road,"605 Francis Hicks Place, Raureka, Hastings"
627,Bay View,Lower Hutt,32,Tarras-Cromwell Road,"32 Bryant Street, Takaro, Palmerston North"
629,Bayswater,Greymouth,15,Jade Crescent,"15 Dublin Street, Whanganui"
630,Bayview,Lower Hutt,1,Fowlds Avenue,"1 Earlham Street, Brooklands, Christchurch"
632,Beach Haven,Lower Hutt,89,Lewis Street,"89 One Tree Point Road, One Tree Point, Whangarei"
640,Beachlands,Mount Maunganui,22,Broadway,"22 Hoylake Place, Wattle Downs, Auckland"
641,Beachville,Blenheim,19,Kaka Crescent,"19 Plunket Street, Raetihi"
642,Beckenham,Whanganui,404A,Eglinton Avenue,"404A Gascoigne Street, Raureka, Hastings"
643,Beerescourt,Warkworth,26,Moorhouse Avenue,"26 Country Club Terrace, Northwood, Christchurch"
644,Belfast,Paraparaumu,60,Ruthven Road,"60 Rimu Street, Heidelberg, Invercargill"
645,Bell Block,Levin,60,Cloten Road,"60 Bridge Street, Rongotai, Wellington"
650,Belleknowes,Christchurch,30,Tyne Street,"30 Holdaway Avenue, Northcote, Auckland"
651,Belmont,Porirua,139,Ahuriri Street,"139 Fitzherbert Street, Featherston"
652,Berhampore,Paraparaumu,34,Mulford Street,"34 Buxton Street, Point Chevalier, Auckland"
653,Bexley,Whangaparaoa,2,Waimea Terrace,"2 Foster Place, Rangiora"
654,Birchville,Cambridge,25,Awamoa Road,"25 Cobden Road, Bluff Hill, Napier"
655,Birkdale,Dunedin,1,Jervois Road,"1 Mainstreet Place, Te Rapa, Hamilton"
656,Birkenhead,Kaiapoi,7,Laings Road,"7 Kaumatua Place, Te Atatu Peninsula, Auckland"
657,Bishopdale,Hamilton,24A,Randwick Place,"24A Bills Way, Wanaka"
660,Blagdon,Christchurch,1,Dalgliesh Avenue,"1 Anzac Street, Gisborne"
661,Blaketown,Whanganui,24,Barclay Street,"24 Tinaku Road, Flat Bush, Auckland"
662,Blockhouse Bay,Auckland,2,Puhipuhi Road,"2 Ihaka Street, Hokowhitu, Palmerston North"
663,Bluff Hill,Waipawa,205/11,Ardilea Avenue,"205/11 Vinegar Lane, Grey Lynn, Auckland"
740,Botany Downs,Te Awamutu,100,Avon Road,"100 Broomfields Road, Whitford"
741,Bottle Lake,Tauranga,14,Mangawhero Terrace,"14 Broad Street, Southbridge"
742,Boulcott,Auckland,35,Mountain Road,"35 Kauri Drive, Takanini"
743,Bradford,Marton,140,Manukau Road,"140 Rahui Road, Otaki"
744,Breaker Bay,Dunedin,17,Glen Ida Way,"17 Clarks Beach Road, Clarks Beach"
745,Bridge Hill,Auckland,103,Mission Street,"103 Featherston Street, Wellington Central, Wellington"
746,Brighton,Napier,1250B,Huia Crescent,"1250B Fairdown Road, Waimangaroa"
747,Britannia Heights,Auckland,45A,Jolson Road,"45A Ganges Road, Khandallah, Wellington"
748,Broad Bay,Napier,35,Wilde Avenue,"35 Heron Avenue East, Matua, Tauranga"
749,Broadmeadows,Waipukurau,11,Silverton Avenue,"11 Lancaster Street, Waltham, Christchurch"
750,Brockville,Tokoroa,1/467,District Road,"1/467 Great South Road, Papatoetoe, Auckland"
751,Bromley,Upper Hutt,35,Boston Avenue,"35 Auckland Street, Picton"
752,Brooklands,Auckland,4,Leighton Street,"4 Nile Road, Milford, Auckland"
753,Brooklyn,Christchurch,45A,King Street,"45A College Road, Saint Johns, Auckland"
754,Broomfield,Wellington,12,Line Road,"12 Mulu Place, Fairview Heights, Auckland"
755,Brown Owl,Auckland,33,Mauritius Key,"33 Puketai Street, Andersons Bay, Dunedin"
756,Browns Bay,Auckland,Mar 33,Marua Road,"3/33 Pukeora Avenue, Remuera, Auckland"
757,Bryndwr,Palmerston North,1,Nixon Street,"1 Ring Terrace, Saint Marys Bay, Auckland"
758,Bucklands Beach,Marton,34B,Travis Country Drive,"34B Porters Access Road, Kaeo"
772,Burleigh,Auckland,14,Trilids Lane,"14 Naver Place, Papakowhai, Porirua"
781,Burnham Camp,Havelock North,6,Kanpur Road,"6 Rauhuia Crescent, Parau, Auckland"
782,Burnside,Wellington,3,Messines Road,"3 Lister Crescent, Maraenui, Napier"
792,Burswood,Auckland,25A,Gemini Place,"25A Lorne Street, Morrinsville"
793,Burwood,Tauranga,287,Samwell Drive,"287 Centaurus Road, Hillsborough, Christchurch"
794,Calton Hill,Auckland,12,Neville Street,"12 Joy Hill Road, Romahapa"
800,Camberley,Christchurch,3/164,Wilson Crescent,"3/164 Beach Haven Road, Beach Haven, Auckland"
810,Camborne,Christchurch,7,Donovan Place,"7 Arthur Terrace, Balclutha"
812,Camerons,Wanaka,46,Roxburgh Street,"46 Ormond Street, Woodville"
814,Campbells Bay,Auckland,285,Nigel Road,"285 State Highway 12, Omapere"
820,Cannons Creek,Napier,41,Tairua Whitianga Road,"41 Bignell Street, Gonville, Whanganui"
830,Careys Bay,Whangarei,15,Ocean Beach Road,"15 Seaview Road, Remuera, Auckland"
840,Carters Beach,Raetihi,72,Range Road,"72 Bremner Avenue, Mount Roskill, Auckland"
841,Casebrook,Auckland,85,Parkinson Close,"85 Cannon Hill Crescent, Mount Pleasant, Christchurch"
842,Cashmere,Hastings,25,Hewletts Road,"25 Driftwood Place, Mangawhai Heads, Mangawhai"
843,Cass Bay,Oamaru,32,Birkenhead Avenue,"32 Palm Grove Drive, Western Heights, Hamilton"
871,Castlecliff,Christchurch,86,Wall Street,"86 Mill Road, Ohaupo"
873,Castor Bay,Temuka,3,Avon Street,"3 Front Miranda Road, Waitakaruru"
874,Caversham,Milton,7,Lucknow Road,"7 Grey Street, Palmerston North"
875,Chartwell,Christchurch,26,Glenmore Avenue,"26 Dan Tori Place, Orewa"
881,Chatswood,Waiuku,Mar 62,Raglan Street,"3/62 Compton Crescent, Taita, Lower Hutt"
882,Chedworth,Gore,112,McIntyre Road,"112 Riverbend Road, Maraenui, Napier"
883,Christchurch Airport,Auckland,31,Gray Avenue,"31 King Street, Hikurangi"
891,Christchurch Central,Gisborne,207,Old Onerahi Road,"207 Flemings Road, Seddon"
892,Churton Park,Palmerston North,92,Great South Road,"92 Bell Street, Tawa, Wellington"
900,Clareville,Auckland,49,St Martins Road,"49 Tahuna Road, Paihia"
910,Claudelands,Red Beach,90,Polygon Road,"90 Marama Avenue South, Otatara"
920,Clendon Park,Auckland,178,Orotu Drive,"178 Trig Road, Whitford"
930,Clifton,Mataura,1447,Centreway Road,"1447 Pataua North Road, Pataua North"
931,Clouston Park,Auckland,60,Dunair Drive,"60 Sussex Street, Tapanui"
932,Clover Park,Christchurch,3/160,Sutherland Road,"3/160 St Albans Street, St Albans, Christchurch"
940,Cloverlea,Whangaparaoa,486,Moana View Road,"486 Goodwin Road, Hilton"
941,Clyde Hill,Auckland,89,Elliot Road,"89 Randwick Crescent, Moera, Lower Hutt"
942,Cobden,Christchurch,249,Kapuni Street,"249 Rangiotu Road, Himatangi"
943,Cockle Bay,Waiuku,107,Kelvin Street,"107 Bordeaux Parade, Te Atatu South, Auckland"
944,College Estate,Christchurch,151,Yarmouth Road,"151 Rowley Crescent, Grovetown, Blenheim"
945,Company Bay,Hamilton,13,Kaimoana Street,"13 Avian Road, Blue Mountains"
946,Concord,Wellington,30A,Ruahine Street,"30A Stafford Street, Waitara"
947,Conifer Grove,Auckland,105,Peary Road,"105 Pembroke Street, Hamilton Lake, Hamilton"
948,Cornwallis,Ohope,9,Island View Road,"9 Wilmer Street, Christchurch Central, Christchurch"
950,Corstorphine,Renwick,98,Vernon Street,"98 Vickerman Street, Port Nelson, Nelson"
951,Cracroft,Dunedin,7,Vincent Street,"7 Dee Street, Timaru"
960,Crofton Downs,Auckland,11,Harman Street,"11 Montrose Street, Flaxmere, Hastings"
961,Dallington,Kaitaia,22,Kimshee Way,"22 College Avenue, Strowan, Christchurch"
962,Dalmore,Russell,33,Pook Road,"33 Hartley Street, Foxton Beach, Foxton"
963,Dannemora,Auckland,9425,Tawhai Street,"9425 State Highway 1, Taihape"
972,Days Bay,Auckland,19,Carbine Road,"19 Taunton Place, Rangiora"
973,Deanwell,Wellington,3,Lake Kaniere Road,"3 Corlett Road, Plimmerton, Porirua"
974,Devonport,Christchurch,2,Sunlands Drive,"2 Thames Street, Welbourn, New Plymouth"
975,Dinsdale,New Plymouth,241,Metcalfe Road,"241 Lower Ahu Ahu Road, Kaitake"
977,Dunedin Central,Auckland,114,Princes Street,"114 Stanbury Avenue, Somerfield, Christchurch"
981,Dunollie,Lower Hutt,49,Daphne Street,"49 Meadowvale Rise, Titirangi, Auckland"
982,Durie Hill,Auckland,31,Woodhouse Avenue,"31 Bevyn Street, Castor Bay, Auckland"
983,East Gore,Auckland,84,Wharf Road,"84 Hillcrest Drive, Kelvin Grove, Palmerston North"
984,East Taieri,Ashburton,5,Tiri Tiri Road,"5 Hawkins Street, Meadowbank, Auckland"
985,East Tamaki,Auckland,41,Revelation Drive,"41 Okains Bay Road, Duvauchelle"
986,East Tamaki Heights,Te Anau,34,Hill Street,"34 Newhaven Terrace, Mairangi Bay, Auckland"
991,Eastbourne,Ashburton,16,Kotuku Crescent,"16 Martin Place, Kelston, Auckland"
992,Eastern Beach,Wellington,116,Boundary Road,"116 Cordelia Street, Stratford"
993,Ebdentown,Kawerau,8,Galbraith Street,"8 Redwood Lane, Wanaka"
1010,Eden Terrace,Hamilton,3,Curran Street,"3 Larch Court, Kelvin Heights, Queenstown"
1011,Edgeware,Auckland,149,John Jennings Drive,"149 Fairfield Road, Hawera"
1021,Elderslea,Kaikohe,191,Mangatutu Road,"191 Taumata Island Road, Taumata Island"
1022,Elgin,Mount Maunganui,6,Browning Street,"6 Roy Street, Riverton"
1023,Ellerslie,Porirua,17,Ashmore Street,"17 Irirangi Road, Greenlane, Auckland"
1024,Elsdon,Levin,62,Goulstone Road,"62 Alfred Street, Fairfield, Hamilton"
1025,Enderley,Porirua,97,Fergusson Drive,"97 Orepuki Riverton Highway, Riverton"
1026,Enner Glynn,Waipu,12/147,Finnsarby Place,"12/147 Albany Highway, Unsworth Heights, Auckland"
1041,Epsom,Auckland,15,Ranzau Road West,"15 Cooks Road, Hunterville"
1042,Epuni,Christchurch,14,Sugden Street,"14 Boulcott Street, Boulcott, Lower Hutt"
1050,Fairfield,Nelson,13,State Highway 1,"13 Amherst Place, Albany, Auckland"
1051,Fairview Downs,Wellington,84,Jubilee Avenue,"84 Waipori Station Road, Waipori Falls"
1052,Fairview Heights,Auckland,113,Michelle Place,"113 Hastings Street, Napier South, Napier"
1060,Farm Cove,Masterton,461A,Bloomfield Terrace,"461A Barrington Street, Spreydon, Christchurch"
1061,Favona,Kerikeri,21,Pokaka Crescent,"21 Quail Crescent, Takamatua"
1062,Fendalton,Rangiora,376,Carnation Court,"376 Taieri Road, Halfway Bush, Dunedin"
1071,Ferndale,Nelson,71,Houhere Place,"71 Wylie Street, Glenholme, Rotorua"
1072,Fernhill,Auckland,273A,Elizabeth Street,"273A Rosebank Road, Avondale, Auckland"
1081,Ferrymead,Palmerston North,63,Christian Road,"63 Waikiekie Station Road, Waiotira"
1140,Fitzherbert,Napier,209,McKenzie Avenue,"209 Creightons Road, Clevedon"
1141,Fitzroy,Napier,16,Rosser Road,"16 Pitcher Place, Glen Eden, Auckland"
1142,Flagstaff,Tauranga,94,Lowry Crescent,"94 Main South Road, Green Island, Dunedin"
1143,Flat Bush,Hampden,21A,Takapu Place,"21A Newton Place, Westbrook, Palmerston North"
1144,Flaxmere,Auckland,167,Walsall Street,"167 Kennedy Road, Marewa, Napier"
1145,Forbury,Auckland,58,Tamblyn Drive,"58 Humber Crescent, Gate Pa, Tauranga"
1147,Forest Lake,Hamilton,57,Old North Road,"57 Bruce Road, Glenfield, Auckland"
1148,Forrest Hill,Auckland,23,Wilkinson Place,"23 Hurst Street, Kaitangata"
1149,Foxton Beach,Auckland,86,Markham Way,"86 Waiau Crescent, Kingswell, Invercargill"
1150,Frankleigh Park,Napier,3,Dayspring Way,"3 Kerepehi Grove, Wainuiomata, Lower Hutt"
1151,Frankton,Auckland,5A,Baffin Grove,"5A Frank Grey Place, Otahuhu, Auckland"
1245,Freemans Bay,Dunedin,6,Young Street,"6 Church Square, Addington, Christchurch"
1246,Frimley,Invercargill,Jan 14,Orere Point Road,"1/14 Shetland Street, Woolston, Christchurch"
1340,Georgetown,Rotorua,653,Mount Albert Road,"653 Te Mata Road, Raglan"
1342,Gladstone,Lower Hutt,91,Tahunanui Drive,"91 Hill Street, Thorndon, Wellington"
1344,Glen Avon,Auckland,15,Torquay Street,"15 Smith Road, Pakaraka"
1345,Glen Eden,Cambridge,3/329,Hill Road,"3/329 Pohutukawa Avenue, Ohope"
1346,Glen Innes,Winton,998,Heta Road,"998 West Coast Road, West Melton"
1347,Glendene,Whangamata,23,Morning Star Place,"23 Scarborough Road, Scarborough, Christchurch"
1348,Glendowie,Cable Bay,73D,Grandview Crescent,"73D Dominion Road, Nawton, Hamilton"
1349,Glenfield,Owaka,3202,Milne Road,"3202 South Head Road, South Head"
1350,Glengarry,Hamilton,36,Flavia Close,"36 Maidstone Road, Ilam, Christchurch"
1351,Gleniti,Lower Hutt,3,Rapaura Road,"3 Waimea Lane, Remuera, Auckland"
1352,Glenleith,Rolleston,38/5,Motatau Road,"38/5 Perekia Street, Albany, Auckland"
1440,Glenross,Papamoa,103,Witheford Drive,"103 Waipuna Road, Mount Wellington, Auckland"
1443,Glenside,Whangarei,15,Broderick Road,"15 Gerard Place, Rangiora"
1445,Glenview,Auckland,25,Cambridge Terrace,"25 Kuripuni Street, Kuripuni, Masterton"
1446,Glenwood,Richmond,523,Kowhai Road,"523 Ahiweka Road, Ormondville"
1541,Golflands,Levin,156A,Tahora Road,"156A Airport Road, Alexandra"
1542,Gonville,Te Puke,22,Evans Street,"22 Maxwells Line, Awapuni, Palmerston North"
1543,Goodwood Heights,Papamoa,2A,Marybank Mews,"2A Northpoint Way, Bell Block, New Plymouth"
1544,Gracefield,Auckland,246,Whitemans Valley Road,"246 Rongoiti Road, Taihape"
1545,Grafton,Papakura,Apr 15,Lambton Quay,"4/15 Waiteata Road, Kelburn, Wellington"
1546,Grandview Heights,Whangarei,2A,Poplar Grove,"2A Roosevelt Road, Western Heights, Rotorua"
1640,Grasmere,Gisborne,8,Keppell Street,"8 Falkirk Street, Dalmore, Dunedin"
1641,Green Bay,Dunedin,46,Egmont Street,"46 Lord Street, Stokes Valley, Lower Hutt"
1642,Green Island,Auckland,307,Mayfield Road,"307 School Road, Te Arai"
1643,Greenhithe,Papakura,190,Crawford Road,"190 Sandringham Road, Sandringham, Auckland"
1740,Greenlane,Te Anau,133,Tramway Road,"133 Reynolds Road, Ratana"
1741,Greenmeadows,Auckland,401B,Mayaro Crescent,"401B Avenue Road West, Hastings"
1742,Grenada North,Auckland,24A,Hurdon Street,"24A Waitote Street, Castlecliff, Whanganui"
1743,Grenada Village,Whanganui,23,Straven Road,"23 Contessa Drive, Glenfield, Auckland"
1744,Grey Lynn,Auckland,28A,Hospital Road,"28A Meridian Street, Port Chalmers, Dunedin"
1745,Grovetown,Tauranga,31,Takahoa Drive,"31 Onslow Road, Mount Eden, Auckland"
1746,Gulf Harbour,Waihi,51,Murphy Road,"51 Ottawa Road, Wainoni, Christchurch"
1840,Half Moon Bay,Mosgiel,108A,Baildon Road,"108A Fourth Avenue, Tauranga"
1841,Halfway Bush,Paraparaumu,31,Sefton Street,"31 Tomahawk Road, Andersons Bay, Dunedin"
1842,Halswell,Auckland,70,Lacebark Drive,"70 Beulah Avenue, Rothesay Bay, Auckland"
1843,Hamilton Central,Feilding,8B,Secretariat Place,"8B Sequoia Crescent, Owhata, Rotorua"
1971,Hamilton East,Whanganui,13,West End Road,"13 Whatuwhiwhi Road, Karikari Peninsula"
2010,Hamilton Lake,Gisborne,21A,Grey Road,"21A Harrybrook Road, Green Bay, Auckland"
2012,Hampstead,Riverton,22,Anzac Road,"22 Roy Street, Newtown, Wellington"
2013,Harbour View,Whanganui,17,Smith Street,"17 Rawhiti Street, Taupo"
2014,Harewood,Dunedin,506,Montgomery Crescent,"506 Turnbull Road, Maitland"
2016,Hargest,Auckland,57,Alexandra Street,"57 Paritutu Road, Spotswood, New Plymouth"
2018,Harrowfield,Christchurch,1408,Hillsborough Road,"1408 Tauwhare Road, Eureka"
2022,Hataitai,Christchurch,Mar 28,Atawhai Road,"3/28 Roberts Road, Te Atatu South, Auckland"
2023,Hatfields Beach,Porirua,119,Droylsden Place,"119 Catherine Street, Windsor, Invercargill"
2024,Hauraki,Christchurch,41,Page Street,"41 Skeets Road, Upper Plain"
2025,Hawthorndale,Opotiki,79A,Manukaka Heights,"79A Goodall Street, Hillsborough, Auckland"
2102,Haywards,Wellington,10,Franklyn Street,"10 Frank Bunce Grove, Flat Bush, Auckland"
2103,Heathcote Valley,Wairoa,60B,Crescent Hills Court,"60B Waihemo Street, Waitangirua, Porirua"
2104,Hei Hei,Te Aroha,37,Garmons Way,"37 Nixon Street, Hamilton East, Hamilton"
2105,Heidelberg,Orewa,69,Harbutt Avenue,"69 Acacia Road, Lake Okareka, Rotorua"
2110,Helensburgh,Auckland,Jan 95,Palmside Street,"1/95 St Johns Road, Saint Johns, Auckland"
2112,Henderson,Richmond,377,Oceanview Road,"377 Ohauiti Road, Ohauiti"
2113,Henderson Valley,Kaikohe,740,Malone Road,"740 Christchurch Akaroa Road, Tai Tapu"
2120,Herald Island,Lower Hutt,3,Hunter Street,"3 Lee Street, Parnell, Auckland"
2121,Heretaunga,Napier,195,Lanes Road,"195 Pigeon Mountain Road, Half Moon Bay, Auckland"
2122,Herne Bay,Gisborne,12A,Nosworthy Street,"12A Oldham Place, Browns Bay, Auckland"
2123,Highbury,Lower Hutt,11/11A,Reads Quay,"11/11A Fife Lane, Miramar, Wellington"
2140,Highcliff,Auckland,19,Percy Street,"19 Hikurangi Street, Trentham, Upper Hutt"
2141,Highfield,Te Kuiti,164,Papamoa Beach Road,"164 Candia Road, Henderson Valley, Auckland"
2142,Highland Park,Whangaparaoa,16,Seifert Road,"16 Randall Street, Richmond, Christchurch"
2143,Highlands Park,Dunedin,63A,Beatrice Tinsley Crescent,"63A King George Avenue, Epsom, Auckland"
2144,Hillcrest,Auckland,7,Solar Road,"7 Scarlock Avenue, Browns Bay, Auckland"
2145,Hillmorton,Auckland,5,Ford Avenue,"5 Motukaraka Point, Pauatahanui"
2146,Hillsborough,Auckland,5,Trigg Place,"5 Boon Street, Manurewa, Auckland"
2147,Hillside,Christchurch,02 Apr,Gow Avenue,"2/4 Hawthorn Crescent, Stokes Valley, Lower Hutt"
2148,Hilltop,Whangamata,46B,South Road,"46B Manaia Road, Tairua"
2149,Hobsonville,Waihi,7,Hair Street,"7 Bean Street, Hillmorton, Christchurch"
2150,Hokowhitu,Nelson,16,Waimahaka Fortification Road,"16 Queen Charlotte Drive, Aotea, Porirua"
2151,Holmes Hill,Ohope,3,Wicklow Terrace,"3 Old Wairoa Road, Papakura"
2153,Homebush,Te Aroha,22,Anna Watson Road,"22 Tapairu Road, Waipawa"
2154,Hoon Hay,Wellington,367,Upper Waiwera Road,"367 Westminster Avenue, Tamatea, Napier"
2155,Hope,Timaru,45,Laughton Street,"45 Middlepark Road, Sockburn, Christchurch"
2156,Horahora,Oamaru,5B,Hazelhurst Line,"5B Valley Road, Mount Maunganui"
2157,Hornby,Christchurch,146,Ngapipi Road,"146 Swanson Road, Henderson, Auckland"
2158,Hornby South,Waimate,63,Kaniere Road,"63 Harbour View Road, Omokoroa"
2159,Horokiwi,Upper Hutt,173,Pipiwai Road,"173 Queen Street, Westport"
2160,Hospital Hill,Methven,27,Cowlishaw Street,"27 Blackhill Road, Tinui"
2240,Houghton Bay,Christchurch,34,Wesleydale Place,"34 Raithburn Terrace, Pokeno"
2241,Howick,Tauranga,4/133,Hislop Street,"4/133 Tipahi Street, Nelson South, Nelson"
2242,Huapai,Auckland,41,Hilltop Avenue,"41 Caernarvon Street, Dinsdale, Hamilton"
2243,Huia,Hamilton,4,Hereford Street,"4 Mountain View Road, Fitzherbert, Palmerston North"
2244,Huntington,Christchurch,15,Sillary Street,"15 Viking Avenue, Hillsborough, Auckland"
2245,Huntington Park,Christchurch,149,Rapallo Place,"149 Whangaparaoa Road, Red Beach"
2246,Huntsbury,Lyttelton,64,Pukenui Road,"64 Karen Crescent, Dinsdale, Hamilton"
2247,Hurdon,Auckland,30,Gunn Road,"30 Joseph Street, Pukemiro"
2248,Hutt Central,Waiuku,85A,Grove Burn Road,"85A Wellesley Road, Napier South, Napier"
2340,Ilam,Kerikeri,01 May,Hunter Avenue,"1/5 Martha Lane, Weymouth, Auckland"
2341,Inner Kaiti,Auckland,212,Glenvar Road,"212 Chatham Road, Flaxmere, Hastings"
2342,Island Bay,Rotorua,75,Symonds Street,"75 Anzac Road, Waiheke Island"
2343,Islington,Gisborne,99,Onslow Road,"99 Highfields Drive, Katikati"
2344,Jervoistown,Lower Hutt,10,Rotowaro Road,"10 Sequoia Place, Pukete, Hamilton"
2345,Johnsonville,Auckland,2,State Highway 1,"2 Dove Place, Taihape"
2440,Kaiata,Whangarei,38A,Rose Road,"38A Ohaupo Road, Melville, Hamilton"
2441,Kaikorai,Havelock North,71,Melville Drive,"71 Whitmore Road, Linton, Palmerston North"
2471,Kainga,Ashburton,116,Cedar Grove,"116 Salerno Rise, Albany Heights, Auckland"
2472,Kaiti,Te Kauwhata,15,Livingstone Street,"15 Moore Road, Lorneville, Invercargill"
2473,Kaiwharawhara,Auckland,89,Takaka Valley Highway,"89 Allum Street, Kohimarama, Auckland"
2474,Kaniere,Riverhead,172,Stewart Street,"172 Peterborough Street, Christchurch Central, Christchurch"
2571,Karaka,Auckland,27,Minginui Road,"27 Omahau Crescent, Twizel"
2576,Karaka Bays,New Plymouth,897B,Forth Street,"897B East Coast Road, Northcross, Auckland"
2577,Karori,Methven,15,Canyon Drive,"15 Havana Rise, Grenada Village, Wellington"
2578,Karoro,Napier,34,Coatesville-Riverhead Highway,"34 Stillwater Place, Westbrook, Palmerston North"
2579,Kawarau Falls,Otaki,100,Bengal Street,"100 Mangamanihi Road, Kaeo"
2580,Kelburn,Christchurch,164,Iliad Place,"164 Seventh View Avenue, Beachlands, Auckland"
2582,Kelson,Auckland,103,Cathedral Square,"103 Bath Road, Riverton"
2583,Kelston,Papakura,35,Hereford Street,"35 O'Halloran Road, Howick, Auckland"
2584,Kelvin Grove,Silverdale,562,Bell Street,"562 McNair Road, Winchester"
2585,Kelvin Heights,Dunedin,41,Chartwell Street,"41 Doran Street, Richmond"
2675,Kenmure,Auckland,401,Orokonui Road,"401 Willowpark Road North, Hastings"
2676,Kensington,Hawera,1/366,Garden Road,"1/366 Annesbrook Drive, Annesbrook, Nelson"
2677,Kew,Christchurch,189,Bellona Place,"189 Newcastle Street, Mahia"
2678,Khandallah,Auckland,36,Fencourt Road,"36 Cullen Street, Mangawhai Heads, Mangawhai"
2679,Kihikihi,Wellington,13,Hayward Street,"13 Laird Street, Castlecliff, Whanganui"
2681,Kilbirnie,Upper Hutt,8,Tweed Road,"8 Tipau Street, Torbay, Auckland"
2682,Kingsland,Cambridge,4,St David Street,"4 Scott Terrace, Temuka"
2683,Kingsley Heights,Dunedin,74,Brampton Court,"74 MacArthur Street, Levin"
2684,Kingston,Auckland,300,Te Mata Road,"300 Scott Street, Tisbury, Invercargill"
2693,Kingswell,Hamilton,14,Eagles Way,"14 Hastings Street, Napier South, Napier"
2694,Kinmont Park,Dunedin,86,Settlers Grove,"86 Victoria Avenue, Remuera, Auckland"
2695,Kohimarama,Auckland,34,Galway Street,"34 Plover Street, One Tree Point, Whangarei"
2696,Korokoro,Auckland,14,Pretoria Street,"14 Manson Street, Gate Pa, Tauranga"
2697,Kuripuni,Christchurch,16,Neill Street,"16 Rue Lavaud, Akaroa"
3010,Laingholm,Wellington,160A,Parapara Road,"160A Kohimarama Road, Kohimarama, Auckland"
3015,Lake Hayes Estate,Auckland,16,Cantina Avenue,"16 Sheehan Road, Te Atatu South, Auckland"
